timestamp,trace_id,span_id,parent_id,service,operation,duration
1747123701,trace-1747123701-747,span-1,,frontend,request,50
1747123701,trace-1747123701-747,span-2,span-1,cart,process,20
1747123701,trace-1747123701-747,span-3,span-1,payment,process,20
1747123701,trace-1747123701-747,span-4,span-1,shipping,process,20
1747123701,trace-1747123701-747,span-5,span-1,order,process,20
1747123851,trace-1747123851-903,span-1,,frontend,request,50
1747123851,trace-1747123851-903,span-2,span-1,cart,process,20
1747123851,trace-1747123851-903,span-3,span-1,payment,process,20
1747123851,trace-1747123851-903,span-4,span-1,shipping,process,20
1747123851,trace-1747123851-903,span-5,span-1,order,process,20
1747123941,trace-1747123941-789,span-1,,frontend,request,50
1747123941,trace-1747123941-789,span-2,span-1,cart,process,100
1747123941,trace-1747123941-789,span-3,span-1,payment,process,20
1747123941,trace-1747123941-789,span-4,span-1,shipping,process,20
1747123941,trace-1747123941-789,span-5,span-1,order,process,20
1747124046,trace-1747124046-528,span-1,,frontend,request,50
1747124046,trace-1747124046-528,span-2,span-1,cart,process,100
1747124046,trace-1747124046-528,span-3,span-1,payment,process,20
1747124046,trace-1747124046-528,span-4,span-1,shipping,process,20
1747124046,trace-1747124046-528,span-5,span-1,order,process,20
1747124061,trace-1747124061-911,span-1,,frontend,request,50
1747124061,trace-1747124061-911,span-2,span-1,cart,process,100
1747124061,trace-1747124061-911,span-3,span-1,payment,process,20
1747124061,trace-1747124061-911,span-4,span-1,shipping,process,20
1747124061,trace-1747124061-911,span-5,span-1,order,process,20
1747124076,trace-1747124076-492,span-1,,frontend,request,50
1747124076,trace-1747124076-492,span-2,span-1,cart,process,100
1747124076,trace-1747124076-492,span-3,span-1,payment,process,20
1747124076,trace-1747124076-492,span-4,span-1,shipping,process,20
1747124076,trace-1747124076-492,span-5,span-1,order,process,20
1747124091,trace-1747124091-369,span-1,,frontend,request,50
1747124091,trace-1747124091-369,span-2,span-1,cart,process,100
1747124091,trace-1747124091-369,span-3,span-1,payment,process,20
1747124091,trace-1747124091-369,span-4,span-1,shipping,process,20
1747124091,trace-1747124091-369,span-5,span-1,order,process,20
1747124136,trace-1747124136-944,span-1,,frontend,request,50
1747124136,trace-1747124136-944,span-2,span-1,cart,process,100
1747124136,trace-1747124136-944,span-3,span-1,payment,process,20
1747124136,trace-1747124136-944,span-4,span-1,shipping,process,20
1747124136,trace-1747124136-944,span-5,span-1,order,process,20
1747124166,trace-1747124166-394,span-1,,frontend,request,50
1747124166,trace-1747124166-394,span-2,span-1,cart,process,100
1747124166,trace-1747124166-394,span-3,span-1,payment,process,20
1747124166,trace-1747124166-394,span-4,span-1,shipping,process,20
1747124166,trace-1747124166-394,span-5,span-1,order,process,20
1747124211,trace-1747124211-632,span-1,,frontend,request,50
1747124211,trace-1747124211-632,span-2,span-1,cart,process,100
1747124211,trace-1747124211-632,span-3,span-1,payment,process,20
1747124211,trace-1747124211-632,span-4,span-1,shipping,process,20
1747124211,trace-1747124211-632,span-5,span-1,order,process,20
