time,frontend_cpu,frontend_mem,frontend_latency,cart_cpu,cart_mem,cart_latency,payment_cpu,payment_mem,payment_latency,shipping_cpu,shipping_mem,shipping_latency,order_cpu,order_mem,order_latency
1747123626,50.29924428499708,48.39777272797843,49.79628990722205,32.648969642062184,65.43880184398827,53.710586298763715,51.2112563666528,56.70011473744431,47.45211097979696,55.983478210986966,59.01529832832445,40.42390790747991,57.719425407822925,47.86610176935459,59.5171462126428
1747123641,58.666314165140804,42.9593943339584,41.31874017540963,55.27136872044451,37.70599017830481,59.346746345496086,54.90267184961316,53.58843708177816,60.56735584743441,25.452159594574773,50.70589376310576,65.16628714470086,40.61728929033566,75.38076143248261,46.63664170493013
1747123656,36.03402064808487,80.79710096810544,35.03409495130489,59.419171080522254,50.82698927367611,44.92356127753564,41.76964701568445,65.65368198590281,57.22319255494605,52.804907805364266,60.29594812047925,58.40757321046045,68.21551196570407,57.52386100770093,51.489277825521434
1747123671,55.645466151827875,39.27824723814906,54.32489120210204,66.97718318899575,58.438282643514405,45.821827880507804,42.01473835401143,39.22135146773425,58.91733585424447,46.70334167001499,50.91214083986158,44.513895040398424,60.03802951910076,43.29689703550054,47.722028724769594
1747123686,46.81091839061554,50.636429225585466,49.62027448862788,43.92892652685595,41.59848815151936,42.733003427875246,43.9247042535351,55.292037923745546,69.35314144770426,37.47690824114562,53.796047431025194,56.93987098314036,49.405355628165104,33.787702652449,37.37245097414231
1747123701,41.98338480232745,39.525200877912106,21.465566227192106,35.70006213784738,53.40515502202949,58.44131309204457,47.73368007475607,56.614094849555315,75.64668278926533,54.087400475337944,38.87744702888263,50.941997620599786,45.83967085202298,34.558720814345904,44.27231150988127
1747123716,47.31569215024357,56.47236324405471,53.79298596733092,40.61525933823346,47.058510987340384,56.47656803946368,42.923159604795536,61.303140730945366,34.453992234754196,51.34252462499898,42.74640808036,57.759094775039976,38.64457416013809,51.733258987178374,59.379355770662656
1747123731,51.9911656943343,60.41018809375453,59.73520713848433,70.24832761342324,60.75093312546959,39.93503629917843,50.399536212395965,55.57120803401244,55.74211156678027,46.568225263630325,57.70922803524593,35.37792610346499,51.09289829970013,28.001183555749588,60.09079298881264
1747123746,40.84203751287566,58.23237957016427,39.127885464747365,51.92473072252563,45.06715199717281,58.33293756843505,28.447109416452054,45.72912342357644,58.14300153845962,42.429644495163906,46.93553734070457,36.05605337716708,57.90896825257717,50.889364046107076,51.947727369593856
1747123761,54.79352731385268,42.916072983162465,65.29007495343144,62.562015746261224,46.06885246186015,51.785572457005884,56.48849434745327,60.71743429780207,60.25861290402473,62.893380216295874,54.43834560855123,26.80938744188324,54.6512646650169,41.885378851022324,55.463693906637126
1747123776,58.38151388100834,34.261523831702064,30.058989234468058,55.05566382923874,33.8610855203699,71.79668853713282,38.72448797642387,61.55633856813997,53.31706571704939,46.04320800771781,60.89469458338117,36.81319390302235,54.21401411946978,51.689851302561095,70.96386451542853
1747123791,46.09885943400995,41.260981529641384,51.64719273378288,43.03986599323828,36.16160341904432,62.55229456640279,65.21001942533931,35.05157629176897,43.225814091182954,49.90333665598518,40.99522046855429,43.10270553473332,64.7238520096018,54.3202749364161,63.87421465235087
1747123806,23.490452267766425,48.57245093393391,44.929101062393954,57.42938325997402,31.31823148368207,55.567028970474844,54.780305219040464,37.053071764197654,53.42373244048242,59.23220190404032,30.853388598629763,56.90847373309656,34.8407799065318,47.84717903900753,66.9269226536604
1747123821,33.70661529922974,45.59257815123476,43.13257332746835,58.41787519070101,53.987480543645525,38.50251911407902,52.06762906872105,49.36067921098062,51.274213999686005,49.19914363182208,39.62209412299142,55.71118047950122,62.62473425060145,43.602016147902646,51.030895089229894
1747123836,51.70639294799232,59.90301235705711,49.84983400780713,51.53054576272055,46.80492660036241,46.70149143574305,64.4256424939833,45.95778786989563,58.144556829829796,63.887564162340766,57.1236701137461,61.23654244735586,56.44998118452124,47.138528228168845,57.12717362116969
1747123851,40.90014828615006,38.72838345264556,31.283134888064026,56.43167409964209,46.91873653045945,56.09026062393389,57.13513324897065,36.83540868994044,40.27338106480254,41.61194948792158,55.94047632733257,65.58498868937203,41.60940679397488,48.51734345215062,58.72587666241914
1747123866,43.05100059343987,41.81949042689119,39.253682108050285,52.27187777358522,41.30737087622072,60.887552591059126,32.85566430054237,49.181245339687585,28.34803596140771,37.060178584041836,50.164117501036586,53.477901789603074,55.90282019298648,39.47959909119122,49.790400568817375
1747123881,43.32944478201873,32.02145482459038,56.324496841010294,34.633632148955485,49.157037912981,57.913880438646665,42.69654283086938,54.06275343371307,51.04047096542442,61.3709535324835,36.86265800257686,55.38011485309153,63.33521944526339,68.97003710442286,37.948591999500024
1747123896,56.911716591257,35.79421657398967,63.26462842840238,65.17010541056206,60.81930379360739,48.144333380210654,31.140292288221698,42.67872325719902,62.46940269294112,45.63810344999108,39.989262290824456,55.25781747814661,32.98466562828908,55.65840606915359,35.18798806279759
1747123911,42.925651932843046,53.14385065988934,47.69336616759707,50.035219478580885,44.85384068737466,35.81985432174778,54.48921715613261,58.587290333755476,49.25565248807761,47.60815588963838,63.24048171996752,50.95377648884209,45.5122373588162,43.82407972569051,48.79540042909375
1747123926,47.553921066945406,56.68886914914775,38.950330140560006,45.62386781139137,54.782561122739104,56.327147603802274,48.253488388589965,93.30763133249239,41.58399929481537,34.523804348466996,59.91142422822209,58.503342427831214,47.321325958747465,47.962754339912145,42.72591652392597
1747123941,50.81526470898401,37.69865028983702,50.58125680529961,58.40245914045357,52.07622210064297,53.41996185905234,42.569241618151835,86.43921665033736,49.929576177637315,48.23729103837768,40.822354193045534,58.62473950673051,31.939947029891556,31.170508849714427,42.021192553218754
1747123956,52.600626935904494,35.71481554836346,45.088898365581834,45.38765652773891,39.93710767782411,34.89265614701807,65.03084716882069,86.72038620339235,67.18214858390701,61.82435259800259,56.52460429817076,55.90298484024804,58.2448334864944,56.71620481440959,33.615425794392564
1747123971,37.349358292790654,62.6137039421091,55.819562655336256,38.316568237706704,56.19351926681341,29.701640085975075,53.070420616683315,86.36432013191181,48.55238851372866,32.46059922774221,38.3481689285459,71.19945537072016,46.77866597801893,41.14883274258658,50.027544538892194
1747123986,54.70155086410843,58.1696062149994,53.28922958649231,55.01655921362291,51.400322258898065,45.33156780935315,49.99398837238936,91.327785194378,61.67758587175954,33.07923600371083,41.852605113296505,54.206451701020974,53.98750507265133,42.61367731968753,59.35657434942128
1747124001,45.97330178717581,44.66758845471438,31.88502536030439,37.15678713343255,61.43045768524023,51.665077965578874,38.493522359779845,86.26204260786147,58.572933031177314,41.74711586296064,45.08993938915063,68.23297209013755,61.89221518473058,48.89328764498188,47.381263035878085
1747124016,38.82898224819698,27.13889939108743,52.77424689362106,35.9835057076085,40.175904492194405,46.17195109383532,53.797679063439126,92.36843494673938,70.90384371922596,48.94987764125942,49.10186134570843,30.726255548699072,65.32976570108133,51.80408509946546,56.83137927327108
1747124031,39.632352081207756,57.40587520931063,56.101638121263576,52.07402026457836,46.441243237275685,47.577567546763305,54.64569844967335,72.82901832482804,70.75114300091252,43.38187242994098,51.46198088833031,36.080294083006855,52.7511336294001,32.20200762893197,36.8526633472273
1747124046,32.70487555799329,56.713708790620046,40.01076593972152,59.65183111128707,52.22497256352911,62.59474993764485,63.59714053212035,98.68183064440026,41.30900772037769,47.0105202217099,40.64601047249346,53.201605607361046,38.49936359250535,57.84290918291019,57.952179567146246
