timestamp,trace_id,span_id,parent_id,service,operation,duration
1747123641,trace-1747123641-129,span-1,,frontend,request,50
1747123641,trace-1747123641-129,span-2,span-1,cart,process,20
1747123641,trace-1747123641-129,span-3,span-1,payment,process,20
1747123641,trace-1747123641-129,span-4,span-1,shipping,process,20
1747123641,trace-1747123641-129,span-5,span-1,order,process,20
1747123791,trace-1747123791-937,span-1,,frontend,request,50
1747123791,trace-1747123791-937,span-2,span-1,cart,process,20
1747123791,trace-1747123791-937,span-3,span-1,payment,process,20
1747123791,trace-1747123791-937,span-4,span-1,shipping,process,20
1747123791,trace-1747123791-937,span-5,span-1,order,process,20
1747123851,trace-1747123851-2,span-1,,frontend,request,50
1747123851,trace-1747123851-2,span-2,span-1,cart,process,20
1747123851,trace-1747123851-2,span-3,span-1,payment,process,20
1747123851,trace-1747123851-2,span-4,span-1,shipping,process,20
1747123851,trace-1747123851-2,span-5,span-1,order,process,20
1747123866,trace-1747123866-773,span-1,,frontend,request,50
1747123866,trace-1747123866-773,span-2,span-1,cart,process,20
1747123866,trace-1747123866-773,span-3,span-1,payment,process,20
1747123866,trace-1747123866-773,span-4,span-1,shipping,process,20
1747123866,trace-1747123866-773,span-5,span-1,order,process,20
1747123926,trace-1747123926-615,span-1,,frontend,request,50
1747123926,trace-1747123926-615,span-2,span-1,cart,process,20
1747123926,trace-1747123926-615,span-3,span-1,payment,process,100
1747123926,trace-1747123926-615,span-4,span-1,shipping,process,20
1747123926,trace-1747123926-615,span-5,span-1,order,process,20
1747124136,trace-1747124136-943,span-1,,frontend,request,50
1747124136,trace-1747124136-943,span-2,span-1,cart,process,20
1747124136,trace-1747124136-943,span-3,span-1,payment,process,100
1747124136,trace-1747124136-943,span-4,span-1,shipping,process,20
1747124136,trace-1747124136-943,span-5,span-1,order,process,20
